-BEGIN HEADER-
NASA/POWER CERES/MERRA2 Native Resolution Daily Data 
Dates (month/day/year): 01/01/1987 through 12/31/2020 
Location: Latitude  41.5309   Longitude -83.7188 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 205.97 meters
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
RH2M           MERRA-2 Relative Humidity at 2 Meters (%) 
TOA_SW_DWN     CERES SYN1deg Top-Of-Atmosphere Shortwave Downward Irradiance (kW-hr/m^2/day) 
WS2M           MERRA-2 Wind Speed at 2 Meters (m/s) 
-END HEADER-
YEAR,MO,DY,RH2M,TOA_SW_DWN,WS2M
1987,1,1,89.62,3.56,1.27
1987,1,2,93.94,3.58,2.33
1987,1,3,88.5,3.6,2.32
1987,1,4,82.06,3.61,1.18
1987,1,5,76.5,3.63,1.61
1987,1,6,87.81,3.66,4.72
1987,1,7,86.19,3.68,4.38
1987,1,8,80.44,3.7,3.87
1987,1,9,87.44,3.73,3.28
1987,1,10,92.94,3.76,4.4
1987,1,11,86.5,3.78,6.65
1987,1,12,92.75,3.81,4.3
1987,1,13,91.44,3.84,3.3
1987,1,14,96.5,3.88,5.05
1987,1,15,87.56,3.91,4.3
1987,1,16,74.69,3.94,2.96
1987,1,17,81.81,3.98,2.38
1987,1,18,90.31,4.02,2.26
1987,1,19,93.31,4.06,5.17
1987,1,20,90.5,4.09,4.63
1987,1,21,89.75,4.14,4.42
1987,1,22,88.81,4.18,4.17
1987,1,23,81.31,4.22,7.23
1987,1,24,83.81,4.26,4.46
1987,1,25,89.5,4.31,2.09
1987,1,26,92.44,4.36,2.62
1987,1,27,91.25,4.4,3.11
1987,1,28,94.0,4.45,3.0
1987,1,29,93.88,4.5,4.06
1987,1,30,92.5,4.55,5.98
1987,1,31,88.5,4.61,3.44
1987,2,1,93.5,4.66,4.64
1987,2,2,93.31,4.71,3.8
1987,2,3,88.44,4.77,4.24
1987,2,4,84.0,4.82,3.35
1987,2,5,85.19,4.88,1.84
1987,2,6,89.88,4.94,4.0
1987,2,7,84.69,4.99,3.33
1987,2,8,73.81,5.05,9.28
1987,2,9,74.94,5.11,4.05
1987,2,10,75.38,5.17,2.88
1987,2,11,80.12,5.23,1.62
1987,2,12,84.69,5.3,4.05
1987,2,13,68.12,5.36,1.77
1987,2,14,78.56,5.42,4.28
1987,2,15,75.44,5.49,5.12
1987,2,16,85.25,5.55,6.58
1987,2,17,84.19,5.62,5.36
1987,2,18,78.88,5.68,3.83
1987,2,19,78.31,5.75,1.49
1987,2,20,67.0,5.82,1.64
1987,2,21,71.81,5.88,1.27
1987,2,22,84.69,5.95,2.09
1987,2,23,80.69,6.02,3.05
1987,2,24,79.69,6.09,1.92
1987,2,25,74.19,6.16,3.0
1987,2,26,73.5,6.23,4.11
1987,2,27,81.12,6.3,3.91
1987,2,28,90.31,6.37,4.21
1987,3,1,89.69,6.44,6.3
1987,3,2,69.69,6.51,6.24
1987,3,3,75.38,6.58,4.69
1987,3,4,71.38,6.66,1.59
1987,3,5,79.19,6.72,3.23
1987,3,6,83.19,6.79,2.95
1987,3,7,82.75,6.87,4.41
1987,3,8,79.19,6.94,2.7
1987,3,9,68.75,7.01,8.45
1987,3,10,63.69,7.08,5.97
1987,3,11,72.19,7.15,1.92
1987,3,12,73.12,7.23,2.4
1987,3,13,71.44,7.3,1.79
1987,3,14,92.25,7.37,3.55
1987,3,15,76.38,7.44,5.97
1987,3,16,72.19,7.51,4.51
1987,3,17,69.81,7.58,3.26
1987,3,18,75.06,7.66,4.5
1987,3,19,74.75,7.73,4.02
1987,3,20,69.81,7.8,2.53
1987,3,21,73.94,7.87,2.19
1987,3,22,69.75,7.94,1.57
1987,3,23,78.69,8.01,3.13
1987,3,24,77.81,8.08,4.04
1987,3,25,79.06,8.15,4.76
1987,3,26,86.44,8.22,4.65
1987,3,27,87.06,8.29,1.63
1987,3,28,81.94,8.36,1.69
1987,3,29,80.75,8.43,4.68
1987,3,30,82.94,8.49,4.32
1987,3,31,70.94,8.56,4.59
1987,4,1,86.12,8.63,4.91
1987,4,2,78.5,8.7,6.23
1987,4,3,75.44,8.76,2.63
1987,4,4,73.56,8.83,8.88
1987,4,5,86.44,8.89,5.98
1987,4,6,90.12,8.96,3.8
1987,4,7,75.0,9.02,3.32
1987,4,8,73.25,9.09,2.24
1987,4,9,66.12,9.15,1.36
1987,4,10,66.69,9.22,2.54
1987,4,11,80.5,9.28,4.52
1987,4,12,83.94,9.33,3.59
1987,4,13,79.5,9.39,3.16
1987,4,14,86.25,9.46,4.2
1987,4,15,88.75,9.52,2.1
1987,4,16,82.44,9.57,3.63
1987,4,17,81.5,9.63,3.09
1987,4,18,78.62,9.69,1.74
1987,4,19,78.19,9.75,1.94
1987,4,20,75.69,9.8,1.31
1987,4,21,73.12,9.86,3.01
1987,4,22,84.38,9.91,4.62
1987,4,23,74.75,9.97,2.92
1987,4,24,69.19,10.02,5.62
1987,4,25,63.0,10.07,3.66
1987,4,26,63.19,10.13,2.23
1987,4,27,65.25,10.18,4.16
1987,4,28,61.81,10.23,4.27
1987,4,29,63.06,10.28,5.59
1987,4,30,64.56,10.32,2.68
1987,5,1,70.5,10.37,1.57
1987,5,2,85.56,10.42,2.45
1987,5,3,88.12,10.47,4.61
1987,5,4,68.5,10.51,4.17
1987,5,5,62.81,10.56,2.09
1987,5,6,66.12,10.6,2.46
1987,5,7,66.69,10.64,2.34
1987,5,8,62.94,10.68,1.98
1987,5,9,63.44,10.73,4.53
1987,5,10,71.38,10.77,4.38
1987,5,11,71.94,10.81,5.18
1987,5,12,63.31,10.85,3.71
1987,5,13,63.06,10.88,2.13
1987,5,14,76.88,10.92,3.83
1987,5,15,65.5,10.96,3.37
1987,5,16,56.94,10.99,1.31
1987,5,17,65.0,11.02,2.82
1987,5,18,89.94,11.05,2.1
1987,5,19,84.19,11.09,3.15
1987,5,20,81.81,11.11,1.64
1987,5,21,90.62,11.15,2.27
1987,5,22,78.88,11.17,3.34
1987,5,23,73.69,11.21,2.51
1987,5,24,75.62,11.23,2.58
1987,5,25,77.56,11.26,3.36
1987,5,26,81.12,11.28,2.22
1987,5,27,77.31,11.31,2.19
1987,5,28,77.06,11.33,2.28
1987,5,29,75.19,11.35,2.55
1987,5,30,84.75,11.38,2.2
1987,5,31,79.88,11.4,3.18
1987,6,1,84.44,11.42,2.7
1987,6,2,88.62,11.44,3.3
1987,6,3,68.62,11.45,3.32
1987,6,4,66.0,11.47,2.52
1987,6,5,63.38,11.49,2.59
1987,6,6,72.44,11.5,2.23
1987,6,7,67.56,11.51,4.84
1987,6,8,77.19,11.53,4.5
1987,6,9,66.56,11.54,3.25
1987,6,10,55.69,11.55,1.38
1987,6,11,65.19,11.56,3.23
1987,6,12,82.31,11.57,3.59
1987,6,13,67.12,11.58,1.67
1987,6,14,62.56,11.58,3.1
1987,6,15,64.06,11.59,2.38
1987,6,16,51.0,11.59,1.65
1987,6,17,58.62,11.59,2.7
1987,6,18,54.0,11.6,1.82
1987,6,19,59.88,11.6,1.04
1987,6,20,90.0,11.6,1.69
1987,6,21,87.75,11.6,2.5
1987,6,22,83.25,11.6,3.2
1987,6,23,70.38,11.59,1.98
1987,6,24,60.81,11.59,0.84
1987,6,25,65.31,11.58,1.56
1987,6,26,60.0,11.58,3.83
1987,6,27,60.12,11.58,3.72
1987,6,28,59.69,11.57,3.63
1987,6,29,80.38,11.56,3.94
1987,6,30,88.0,11.55,2.8
1987,7,1,89.06,11.54,2.28
1987,7,2,82.12,11.53,2.38
1987,7,3,76.81,11.52,3.25
1987,7,4,69.44,11.5,1.57
1987,7,5,79.12,11.49,2.49
1987,7,6,84.06,11.47,2.58
1987,7,7,88.62,11.45,3.12
1987,7,8,81.44,11.44,3.11
1987,7,9,81.62,11.42,2.91
1987,7,10,83.19,11.4,3.02
1987,7,11,84.06,11.38,2.55
1987,7,12,82.75,11.36,3.12
1987,7,13,83.5,11.34,3.36
1987,7,14,66.31,11.31,3.59
1987,7,15,71.88,11.29,1.59
1987,7,16,71.06,11.27,1.43
1987,7,17,66.62,11.24,1.8
