YEAR,0,DY,41.2960517_-84.2273628,41.391012_-84.137842,41.53086853_-83.71882629,41.670988_-83.835347
1987,<class 'str'>,1,3.56,3.56,3.56,3.56
1987,,2,3.58,3.58,3.58,3.58
1987,,3,3.6,3.6,3.6,3.6
1987,,4,3.61,3.61,3.61,3.61
1987,,5,3.63,3.63,3.63,3.63
1987,,6,3.66,3.66,3.66,3.66
1987,,7,3.68,3.68,3.68,3.68
1987,,8,3.7,3.7,3.7,3.7
1987,,9,3.73,3.73,3.73,3.73
1987,,10,3.76,3.76,3.76,3.76
1987,,11,3.78,3.78,3.78,3.78
1987,,12,3.81,3.81,3.81,3.81
1987,,13,3.84,3.84,3.84,3.84
1987,,14,3.88,3.88,3.88,3.88
1987,,15,3.91,3.91,3.91,3.91
1987,,16,3.94,3.94,3.94,3.94
1987,,17,3.98,3.98,3.98,3.98
1987,,18,4.02,4.02,4.02,4.02
1987,,19,4.06,4.06,4.06,4.06
1987,,20,4.09,4.09,4.09,4.09
1987,,21,4.14,4.14,4.14,4.14
1987,,22,4.18,4.18,4.18,4.18
1987,,23,4.22,4.22,4.22,4.22
1987,,24,4.26,4.26,4.26,4.26
1987,,25,4.31,4.31,4.31,4.31
1987,,26,4.36,4.36,4.36,4.36
1987,,27,4.4,4.4,4.4,4.4
1987,,28,4.45,4.45,4.45,4.45
1987,,29,4.5,4.5,4.5,4.5
1987,,30,4.55,4.55,4.55,4.55
1987,,31,4.61,4.61,4.61,4.61
1987,,1,4.66,4.66,4.66,4.66
1987,,2,4.71,4.71,4.71,4.71
1987,,3,4.77,4.77,4.77,4.77
1987,,4,4.82,4.82,4.82,4.82
1987,,5,4.88,4.88,4.88,4.88
1987,,6,4.94,4.94,4.94,4.94
1987,,7,4.99,4.99,4.99,4.99
1987,,8,5.05,5.05,5.05,5.05
1987,,9,5.11,5.11,5.11,5.11
1987,,10,5.17,5.17,5.17,5.17
1987,,11,5.23,5.23,5.23,5.23
1987,,12,5.3,5.3,5.3,5.3
1987,,13,5.36,5.36,5.36,5.36
1987,,14,5.42,5.42,5.42,5.42
1987,,15,5.49,5.49,5.49,5.49
1987,,16,5.55,5.55,5.55,5.55
1987,,17,5.62,5.62,5.62,5.62
1987,,18,5.68,5.68,5.68,5.68
1987,,19,5.75,5.75,5.75,5.75
1987,,20,5.82,5.82,5.82,5.82
1987,,21,5.88,5.88,5.88,5.88
1987,,22,5.95,5.95,5.95,5.95
1987,,23,6.02,6.02,6.02,6.02
1987,,24,6.09,6.09,6.09,6.09
1987,,25,6.16,6.16,6.16,6.16
1987,,26,6.23,6.23,6.23,6.23
1987,,27,6.3,6.3,6.3,6.3
1987,,28,6.37,6.37,6.37,6.37
1987,,1,6.44,6.44,6.44,6.44
1987,,2,6.51,6.51,6.51,6.51
1987,,3,6.58,6.58,6.58,6.58
1987,,4,6.66,6.66,6.66,6.66
1987,,5,6.72,6.72,6.72,6.72
1987,,6,6.79,6.79,6.79,6.79
1987,,7,6.87,6.87,6.87,6.87
1987,,8,6.94,6.94,6.94,6.94
1987,,9,7.01,7.01,7.01,7.01
1987,,10,7.08,7.08,7.08,7.08
1987,,11,7.15,7.15,7.15,7.15
1987,,12,7.23,7.23,7.23,7.23
1987,,13,7.3,7.3,7.3,7.3
1987,,14,7.37,7.37,7.37,7.37
1987,,15,7.44,7.44,7.44,7.44
1987,,16,7.51,7.51,7.51,7.51
1987,,17,7.58,7.58,7.58,7.58
1987,,18,7.66,7.66,7.66,7.66
1987,,19,7.73,7.73,7.73,7.73
1987,,20,7.8,7.8,7.8,7.8
1987,,21,7.87,7.87,7.87,7.87
1987,,22,7.94,7.94,7.94,7.94
1987,,23,8.01,8.01,8.01,8.01
1987,,24,8.08,8.08,8.08,8.08
1987,,25,8.15,8.15,8.15,8.15
1987,,26,8.22,8.22,8.22,8.22
1987,,27,8.29,8.29,8.29,8.29
1987,,28,8.36,8.36,8.36,8.36
1987,,29,8.43,8.43,8.43,8.43
1987,,30,8.49,8.49,8.49,8.49
1987,,31,8.56,8.56,8.56,8.56
1987,,1,8.63,8.63,8.63,8.63
1987,,2,8.7,8.7,8.7,8.7
1987,,3,8.76,8.76,8.76,8.76
1987,,4,8.83,8.83,8.83,8.83
1987,,5,8.89,8.89,8.89,8.89
1987,,6,8.96,8.96,8.96,8.96
1987,,7,9.02,9.02,9.02,9.02
1987,,8,9.09,9.09,9.09,9.09
1987,,9,9.15,9.15,9.15,9.15
1987,,10,9.22,9.22,9.22,9.22
1987,,11,9.28,9.28,9.28,9.28
1987,,12,9.33,9.33,9.33,9.33
1987,,13,9.39,9.39,9.39,9.39
1987,,14,9.46,9.46,9.46,9.46
1987,,15,9.52,9.52,9.52,9.52
1987,,16,9.57,9.57,9.57,9.57
1987,,17,9.63,9.63,9.63,9.63
1987,,18,9.69,9.69,9.69,9.69
1987,,19,9.75,9.75,9.75,9.75
1987,,20,9.8,9.8,9.8,9.8
1987,,21,9.86,9.86,9.86,9.86
1987,,22,9.91,9.91,9.91,9.91
1987,,23,9.97,9.97,9.97,9.97
1987,,24,10.02,10.02,10.02,10.02
1987,,25,10.07,10.07,10.07,10.07
1987,,26,10.13,10.13,10.13,10.13
1987,,27,10.18,10.18,10.18,10.18
1987,,28,10.23,10.23,10.23,10.23
1987,,29,10.28,10.28,10.28,10.28
1987,,30,10.32,10.32,10.32,10.32
1987,,1,10.37,10.37,10.37,10.37
1987,,2,10.42,10.42,10.42,10.42
1987,,3,10.47,10.47,10.47,10.47
1987,,4,10.51,10.51,10.51,10.51
1987,,5,10.56,10.56,10.56,10.56
1987,,6,10.6,10.6,10.6,10.6
1987,,7,10.64,10.64,10.64,10.64
1987,,8,10.68,10.68,10.68,10.68
1987,,9,10.73,10.73,10.73,10.73
1987,,10,10.77,10.77,10.77,10.77
1987,,11,10.81,10.81,10.81,10.81
1987,,12,10.85,10.85,10.85,10.85
1987,,13,10.88,10.88,10.88,10.88
1987,,14,10.92,10.92,10.92,10.92
1987,,15,10.96,10.96,10.96,10.96
1987,,16,10.99,10.99,10.99,10.99
1987,,17,11.02,11.02,11.02,11.02
1987,,18,11.05,11.05,11.05,11.05
1987,,19,11.09,11.09,11.09,11.09
1987,,20,11.11,11.11,11.11,11.11
1987,,21,11.15,11.15,11.15,11.15
1987,,22,11.17,11.17,11.17,11.17
1987,,23,11.21,11.21,11.21,11.21
1987,,24,11.23,11.23,11.23,11.23
1987,,25,11.26,11.26,11.26,11.26
1987,,26,11.28,11.28,11.28,11.28
1987,,27,11.31,11.31,11.31,11.31
1987,,28,11.33,11.33,11.33,11.33
1987,,29,11.35,11.35,11.35,11.35
1987,,30,11.38,11.38,11.38,11.38
1987,,31,11.4,11.4,11.4,11.4
1987,,1,11.42,11.42,11.42,11.42
1987,,2,11.44,11.44,11.44,11.44
1987,,3,11.45,11.45,11.45,11.45
1987,,4,11.47,11.47,11.47,11.47
1987,,5,11.49,11.49,11.49,11.49
1987,,6,11.5,11.5,11.5,11.5
1987,,7,11.51,11.51,11.51,11.51
1987,,8,11.53,11.53,11.53,11.53
1987,,9,11.54,11.54,11.54,11.54
1987,,10,11.55,11.55,11.55,11.55
1987,,11,11.56,11.56,11.56,11.56
1987,,12,11.57,11.57,11.57,11.57
1987,,13,11.58,11.58,11.58,11.58
1987,,14,11.58,11.58,11.58,11.58
1987,,15,11.59,11.59,11.59,11.59
1987,,16,11.59,11.59,11.59,11.59
1987,,17,11.59,11.59,11.59,11.59
1987,,18,11.6,11.6,11.6,11.6
1987,,19,11.6,11.6,11.6,11.6
1987,,20,11.6,11.6,11.6,11.6
1987,,21,11.6,11.6,11.6,11.6
1987,,22,11.6,11.6,11.6,11.6
1987,,23,11.59,11.59,11.59,11.59
1987,,24,11.59,11.59,11.59,11.59
1987,,25,11.58,11.58,11.58,11.58
1987,,26,11.58,11.58,11.58,11.58
1987,,27,11.58,11.58,11.58,11.58
1987,,28,11.57,11.57,11.57,11.57
1987,,29,11.56,11.56,11.56,11.56
1987,,30,11.55,11.55,11.55,11.55
1987,,1,11.54,11.54,11.54,11.54
1987,,2,11.53,11.53,11.53,11.53
1987,,3,11.52,11.52,11.52,11.52
1987,,4,11.5,11.5,11.5,11.5
1987,,5,11.49,11.49,11.49,11.49
1987,,6,11.47,11.47,11.47,11.47
1987,,7,11.45,11.45,11.45,11.45
1987,,8,11.44,11.44,11.44,11.44
1987,,9,11.42,11.42,11.42,11.42
1987,,10,11.4,11.4,11.4,11.4
1987,,11,11.38,11.38,11.38,11.38
1987,,12,11.36,11.36,11.36,11.36
1987,,13,11.34,11.34,11.34,11.34
1987,,14,11.31,11.31,11.31,11.31
1987,,15,11.29,11.29,11.29,11.29
1987,,16,11.27,11.27,11.27,11.27
1987,,17,11.24,11.24,11.24,11.24
1987,,18,11.21,11.21,11.21,11.21
1987,,19,11.19,11.19,11.19,11.19
1987,,20,11.16,11.16,11.16,11.16
1987,,21,11.13,11.13,11.13,11.13
1987,,22,11.1,11.1,11.1,11.1
1987,,23,11.06,11.06,11.06,11.06
1987,,24,11.03,11.03,11.03,11.03
1987,,25,11.0,11.0,11.0,11.0
1987,,26,10.97,10.97,10.97,10.97
1987,,27,10.93,10.93,10.93,10.93
1987,,28,10.9,10.9,10.9,10.9
1987,,29,10.86,10.86,10.86,10.86
1987,,30,10.82,10.82,10.82,10.82
1987,,31,10.79,10.79,10.79,10.79
1987,,1,10.74,10.74,10.74,10.74
1987,,2,10.71,10.71,10.71,10.71
1987,,3,10.67,10.67,10.67,10.67
1987,,4,10.62,10.62,10.62,10.62
1987,,5,10.58,10.58,10.58,10.58
1987,,6,10.54,10.54,10.54,10.54
1987,,7,10.5,10.5,10.5,10.5
1987,,8,10.45,10.45,10.45,10.45
1987,,9,10.4,10.4,10.4,10.4
1987,,10,10.36,10.36,10.36,10.36
1987,,11,10.31,10.31,10.31,10.31
1987,,12,10.26,10.26,10.26,10.26
1987,,13,10.22,10.22,10.22,10.22
1987,,14,10.17,10.17,10.17,10.17
1987,,15,10.12,10.12,10.12,10.12
1987,,16,10.07,10.07,10.07,10.07
1987,,17,10.02,10.02,10.02,10.02
1987,,18,9.96,9.96,9.96,9.96
1987,,19,9.91,9.91,9.91,9.91
1987,,20,9.86,9.86,9.86,9.86
1987,,21,9.81,9.81,9.81,9.81
1987,,22,9.75,9.75,9.75,9.75
1987,,23,9.7,9.7,9.7,9.7
1987,,24,9.64,9.64,9.64,9.64
1987,,25,9.59,9.59,9.59,9.59
1987,,26,9.53,9.53,9.53,9.53
1987,,27,9.47,9.47,9.47,9.47
1987,,28,9.41,9.41,9.41,9.41
1987,,29,9.36,9.36,9.36,9.36
1987,,30,9.29,9.29,9.29,9.29
