YEAR,0,DY,41.2960517_-84.2273628,41.391012_-84.137842,41.53086853_-83.71882629,41.670988_-83.835347
1987,<class 'str'>,1,1.37,1.37,1.27,1.27
1987,,2,2.79,2.79,2.33,2.33
1987,,3,2.17,2.17,2.32,2.32
1987,,4,1.12,1.12,1.18,1.18
1987,,5,1.77,1.77,1.61,1.61
1987,,6,4.75,4.75,4.72,4.72
1987,,7,4.36,4.36,4.38,4.38
1987,,8,3.99,3.99,3.87,3.87
1987,,9,3.43,3.43,3.28,3.28
1987,,10,4.6,4.6,4.4,4.4
1987,,11,6.55,6.55,6.65,6.65
1987,,12,4.31,4.31,4.3,4.3
1987,,13,3.29,3.29,3.3,3.3
1987,,14,4.79,4.79,5.05,5.05
1987,,15,4.2,4.2,4.3,4.3
1987,,16,2.94,2.94,2.96,2.96
1987,,17,2.52,2.52,2.38,2.38
1987,,18,2.37,2.37,2.26,2.26
1987,,19,4.98,4.98,5.17,5.17
1987,,20,4.48,4.48,4.63,4.63
1987,,21,4.3,4.3,4.42,4.42
1987,,22,4.41,4.41,4.17,4.17
1987,,23,7.12,7.12,7.23,7.23
1987,,24,4.26,4.26,4.46,4.46
1987,,25,2.15,2.15,2.09,2.09
1987,,26,2.51,2.51,2.62,2.62
1987,,27,3.25,3.25,3.11,3.11
1987,,28,2.7,2.7,3.0,3.0
1987,,29,4.33,4.33,4.06,4.06
1987,,30,5.95,5.95,5.98,5.98
1987,,31,3.18,3.18,3.44,3.44
1987,,1,4.51,4.51,4.64,4.64
1987,,2,3.8,3.8,3.8,3.8
1987,,3,4.15,4.15,4.24,4.24
1987,,4,3.23,3.23,3.35,3.35
1987,,5,1.83,1.83,1.84,1.84
1987,,6,3.96,3.96,4.0,4.0
1987,,7,3.41,3.41,3.33,3.33
1987,,8,9.6,9.6,9.28,9.28
1987,,9,3.91,3.91,4.05,4.05
1987,,10,2.71,2.71,2.88,2.88
1987,,11,1.88,1.88,1.62,1.62
